"recipientID","recipientName","fullName","valueAmount","year","wide_cat","wide_cat_full","usageStatus","date","type","sort"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",11182.15,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-05-01","Школи та інше","1000"
"2547688","Тернопільське вище професійне училище ресторанного сервісу і торгівлі","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище ресторанного сервісу і торгівлі""",11292.13,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-07-31","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",11370,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","використовується","2020-05-31","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",11453,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-03-03","Школи та інше","1000"
"23596165","ДНЗ №22","Тернопільський дошкільний навчальний заклад №22",11481,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","null","2020-03-01","ДНЗ","22"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",11730,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використовується","2019-11-29","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",11807,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-02-03","Школи та інше","1000"
"14039939","Школа №14 ім. Б. Лепкого","Тернопільська загально-освітня школа І-ІІІ ступенів № 14 ім. Б. Лепкого",30590,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-08-27","Школи та інше","14"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",11880,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-04-01","Школи та інше","1000"
"14030789","Школа №23","Тернопільська загальноосвітня школа І-ІІІ ст. №23",11920,"2020","Офісна та комп’ютерна техніка","Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення","Не використано","2020-07-09","Школи та інше","23"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",11973,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-05-31","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",12048.5,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-01-01","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",12053,"2020","Грошові кошти","Грошові кошти","Використано","2020-03-19","Школи та інше","1000"
"10493126","Школа №11","Тернопільська загальноосвітня школа І-ІІІ ступенів № 11",12098,"2019","Теле-радіо апаратура","Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","Використовується","2019-11-28","Школи та інше","11"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",12315,"2020","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використано","2020-03-02","Школи та інше","4"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",12389,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","використовується","2020-03-31","Школи та інше","1000"
"14030789","Школа №23","Тернопільська загальноосвітня школа І-ІІІ ст. №23",12500,"2019","Офісна та комп’ютерна техніка","Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення","Використовується","2019-12-17","Школи та інше","23"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",12662.95,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-11-01","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",12765.96,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-02-28","Школи та інше","1000"
"14053371","Спеціалізована загальноосвітня школа І ступеня повного дня з поглибленим вивченням іноземних мов","Тернопільська спеціалізована загальноосвітня школа І ступеня повного дня з поглибленим вивченням іноземних мов",12800,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-12","Школи та інше","1000"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",12871,"2019","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використано","2019-03-10","Школи та інше","4"
"14039879","Українська гімназія ім. І. Франка","Тернопільська Українська гімназія ім. І. Франка",13200,"2020","Хімічна продукція","Хімічна продукція","Використовується","2020-07-22","Школи та інше","1000"
"14039879","Українська гімназія ім. І. Франка","Тернопільська Українська гімназія ім. І. Франка",13240,"2019","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використовується","2019-07-01","Школи та інше","1000"
"14039842","Спеціалізована школа № 7 з поглибленим вивченням іноземних мов","Тернопільська спеціалізована школа I-III ступенів № 7 з поглибленим вивченням іноземних мов",13329,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-12-16","Школи та інше","7"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",13544.5,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","використовується","2020-06-30","Школи та інше","1000"
"10493126","Школа №11","Тернопільська загальноосвітня школа І-ІІІ ступенів № 11",13590,"2019","Лабораторне обладнання","Лабораторне, оптичне та високоточне обладнання (крім лінз)","Використовується","2019-03-07","Школи та інше","11"
"33915120","ДНЗ №3","Тернопільський дошкільний навчальний заклад №3",13700,"2019","Теле-радіо апаратура","Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","Використовується","2019-09-06","ДНЗ","3"
"2547688","Тернопільське вище професійне училище ресторанного сервісу і торгівлі","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище ресторанного сервісу і торгівлі""",13934.4,"2020","Друкована продукція","Друкована та супутня продукція","використовується","2020-06-18","Школи та інше","1000"
"23596165","ДНЗ №22","Тернопільський дошкільний навчальний заклад №22",13948,"2019","Теле-радіо апаратура","Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","Використовується","2019-12-09","ДНЗ","22"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",14000,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2020-02-03","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",14013.41,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-10-01","Школи та інше","1000"
"3071153","Тернопільське вище професійне училище технологій та дизайну","Державний навчальний заклад ""Тернопільське вище професійне училище технологій та дизайну""",14087.54,"2019","Грошові кошти","Грошові кошти","Використано","2019-12-27","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",14288,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-02-28","Школи та інше","1000"
"14040167","Загальноосвітня школа - економічний ліцей № 9 імені Іванни Блажкевич","Тернопільський навчально-виховний комплекс ""Загальнооосвітня школа І-ІІІ ступенів-економічний ліцей № 9 імені Іванни Блажкевич""",14400,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2020-03-16","Школи та інше","9"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",14500,"2019","Промислова техніка","Промислова техніка","Використовується","2019-07-05","Школи та інше","1000"
"2547688","Тернопільське вище професійне училище ресторанного сервісу і торгівлі","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище ресторанного сервісу і торгівлі""",14500,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-01","Школи та інше","1000"
"14039951","Школа №26","Тернопільська загальноосвітня школа І-ІІІ ст. № 26",14567.03,"2019","Лабораторне обладнання","Лабораторне, оптичне та високоточне обладнання (крім лінз)","Використовується","2019-05-14","Школи та інше","26"
"3071153","Тернопільське вище професійне училище технологій та дизайну","Державний навчальний заклад ""Тернопільське вище професійне училище технологій та дизайну""",14607.28,"2019","Грошові кошти","Грошові кошти","Використано","2019-09-23","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",15067.25,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-12-01","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",15885.36,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-09-01","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",16226,"2019","Грошові кошти","Грошові кошти","Не використано","2019-06-27","Школи та інше","1000"
